day, verse
1, On the 1st day of Christmas my true love gave to meA partridge in a pear tree.
2, On the 2nd day of Christmas my true love gave to meTwo turtle doves, and
3, On the 3rd day of Christmas my true love gave to meThree French hens,
4, On the 4th day of Christmas my true love gave to meFour calling birds,
5, On the 5th day of Christmas my true love gave to meFive golden rings,
6, On the 6th day of Christmas my true love gave to meSix geese a laying,
7, On the 7th day of Christmas my true love gave to meSeven swans a swimming,
8, On the 8th day of Christmas my true love gave to meEight maids a milking,
9, On the 9th day of Christmas my true love gave to meNine ladies dancing,
10, On the 10th day of Christmas my true love gave to meTen lords a leaping,
11, On the 11th day of Christmas my true love gave to meEleven pipers piping,
12, On the 12th day of Christmas my true love gave to meTwelve drummers drumming,
